Entity,Code,Day,total_tests_per_thousand,142605-annotations,Total confirmed cases of COVID-19 per million people,Total confirmed deaths due to COVID-19 per million people
India,IND,13-03-2020,5,samples tested,0.059,0.001
India,IND,18-03-2020,10,samples tested,0.113,0.002
India,IND,19-03-2020,10,samples tested,0.141,0.003
India,IND,20-03-2020,10,samples tested,0.177,0.004
India,IND,21-03-2020,11,samples tested,0.239,0.003
India,IND,22-03-2020,12,samples tested,0.287,0.005
India,IND,23-03-2020,15,samples tested,0.362,0.007
India,IND,24-03-2020,15,samples tested,0.388,0.007
India,IND,25-03-2020,18,samples tested,0.476,0.009
India,IND,27-03-2020,20,samples tested,0.643,0.014
India,IND,02-04-2020,35,samples tested,1.843,0.052
India,IND,03-04-2020,50,samples tested,1.86,0.052
India,IND,04-04-2020,58,samples tested,2.233,0.062
India,IND,05-04-2020,65,samples tested,2.6,0.072
India,IND,06-04-2020,73,samples tested,3.462,0.099
India,IND,07-04-2020,83,samples tested,3.849,0.109
India,IND,08-04-2020,93,samples tested,4.287,0.129
India,IND,09-04-2020,105,samples tested,4.873,0.164
India,IND,10-04-2020,117,samples tested,5.506,0.178
India,IND,11-04-2020,130,samples tested,6.12,0.209
India,IND,12-04-2020,142,samples tested,6.67,0.24
India,IND,13-04-2020,158,samples tested,7.575,0.259
India,IND,14-04-2020,177,samples tested,8.324,0.285
India,IND,15-04-2020,199,samples tested,8.929,0.293
India,IND,16-04-2020,220,samples tested,9.732,0.325
India,IND,17-04-2020,243,samples tested,10.4,0.352
India,IND,18-04-2020,270,samples tested,11.393,0.378
India,IND,19-04-2020,291,samples tested,12.764,0.405
India,IND,21-04-2020,335,samples tested,14.551,0.467
India,IND,23-04-2020,363,samples tested,16.722,0.522
India,IND,24-04-2020,393,samples tested,17.775,0.565
India,IND,25-04-2020,420,samples tested,19.046,0.598
India,IND,26-04-2020,453,samples tested,20.21,0.638
India,IND,27-04-2020,482,samples tested,21.341,0.68
India,IND,28-04-2020,519,samples tested,22.698,0.73
India,IND,29-04-2020,559,samples tested,23.958,0.782
India,IND,30-04-2020,602,samples tested,25.263,0.836
India,IND,01-05-2020,654,samples tested,26.998,0.886
India,IND,02-05-2020,708,samples tested,28.767,0.959
India,IND,03-05-2020,758,samples tested,30.801,1.008
India,IND,04-05-2020,802,samples tested,33.65,1.135
India,IND,05-05-2020,864,samples tested,35.797,1.227
India,IND,06-05-2020,925,samples tested,38.396,1.293
India,IND,07-05-2020,984,samples tested,40.834,1.369
India,IND,08-05-2020,1042,samples tested,43.257,1.438
India,IND,09-05-2020,1104,samples tested,45.513,1.522
India,IND,10-05-2020,1166,samples tested,48.667,1.603
India,IND,11-05-2020,1213,samples tested,51.281,1.662
India,IND,12-05-2020,1275,samples tested,53.835,1.75
India,IND,13-05-2020,1344,samples tested,56.561,1.849
India,IND,14-05-2020,1411,samples tested,59.418,1.92
India,IND,15-05-2020,1478,samples tested,62.162,1.995
India,IND,16-05-2020,1547,samples tested,65.687,2.08
India,IND,17-05-2020,1614,samples tested,69.346,2.192
India,IND,18-05-2020,1669,samples tested,72.701,2.287
India,IND,19-05-2020,1742,samples tested,77.156,2.393
India,IND,20-05-2020,1821,samples tested,81.179,2.488
India,IND,21-05-2020,1896,samples tested,85.671,2.597
India,IND,22-05-2020,1971,samples tested,90.43,2.7
India,IND,23-05-2020,2054,samples tested,95.234,2.803
India,IND,24-05-2020,2133,samples tested,100.388,2.916
India,IND,25-05-2020,2198,samples tested,105.036,3.023
India,IND,26-05-2020,2265,samples tested,109.27,3.148
India,IND,27-05-2020,2349,samples tested,114.555,3.285
India,IND,28-05-2020,2436,samples tested,119.845,3.414
India,IND,29-05-2020,2525,samples tested,125.718,3.609
India,IND,30-05-2020,2617,samples tested,131.758,3.757
India,IND,31-05-2020,2708,samples tested,138.122,3.919
India,IND,01-06-2020,2781,samples tested,143.746,4.064
India,IND,02-06-2020,2874,samples tested,150.138,4.224
India,IND,03-06-2020,2973,samples tested,157.118,4.412
India,IND,04-06-2020,3074,samples tested,164.284,4.611
India,IND,05-06-2020,3179,samples tested,171.147,4.818
India,IND,06-06-2020,3278,samples tested,178.711,5.033
India,IND,07-06-2020,3381,samples tested,186.583,5.222
India,IND,08-06-2020,3460,samples tested,192.701,5.415
India,IND,09-06-2020,3562,samples tested,200.105,5.616
India,IND,10-06-2020,3668,samples tested,207.684,5.871
India,IND,11-06-2020,3778,samples tested,215.604,6.158
India,IND,12-06-2020,3887,samples tested,223.907,6.438
India,IND,13-06-2020,3991,samples tested,232.551,6.663
India,IND,14-06-2020,4100,samples tested,240.886,6.899
India,IND,15-06-2020,4184,samples tested,248.616,7.174
India,IND,16-06-2020,4291,samples tested,256.568,8.625
India,IND,17-06-2020,4409,samples tested,265.902,8.867
India,IND,18-06-2020,4529,samples tested,275.747,9.111
India,IND,19-06-2020,4657,samples tested,286.266,9.383
India,IND,20-06-2020,4795,samples tested,297.427,9.604
India,IND,21-06-2020,4933,samples tested,308.174,9.927
India,IND,22-06-2020,5037,samples tested,318.995,10.153
India,IND,23-06-2020,5172,samples tested,330.566,10.49
India,IND,24-06-2020,5328,samples tested,342.829,10.793
India,IND,25-06-2020,5479,samples tested,355.362,11.088
India,IND,26-06-2020,5635,samples tested,368.805,11.366
India,IND,27-06-2020,5795,samples tested,383.23,11.663
